gal_name percentile_10_ha percentile_50_ha percentile_90_ha percentile_10_rad percentile_50_rad percentile_90_rad
IC5332 36.3235809201244 36.85616845733925 37.808257914422036 6.9866740416301605 11.757711424081199 30.601211210541646
NGC0628 36.080573616783425 37.00771530670681 38.064797752435965 5.001732246592543 16.312368646890537 43.80442379566922
NGC1087 37.00992386622892 37.744743133323624 38.7783808841496 12.71541800273764 25.068772692542307 76.21427797621551
NGC1300 36.49608267287371 37.27913031293251 38.401473674942594 14.55204253224572 28.441705608248984 76.71516225832843
NGC1365 37.13593578743112 38.036878250742745 40.027620802951766 8.744385054631811 34.328299835481815 131.9241617912075
NGC1385 37.17464958107415 38.044187547452395 39.18746445767922 14.694099228209405 36.71154026032872 109.27115433708542
NGC1433 36.814578315667866 37.58337200663821 38.520961324288756 6.696119131475791 19.25961162519159 56.1316529042908
NGC1566 37.07855884677979 37.85484351230565 39.05021527581046 13.757525834984259 28.305377039245727 95.26743742098937
NGC1672 36.774484302570684 37.77389867328112 38.98313127025295 15.591828883721428 42.51841285194507 118.90192360146216
NGC2835 36.80446857358872 37.58019584720945 38.51646620987227 7.524188205482496 20.08394979783634 53.232603692295626
NGC3351 36.458559061888145 37.08937962879724 38.259605495716194 4.802677531851885 11.873151762177393 39.9288933212842
NGC3627 36.96957378958218 37.92884364429382 39.20794232358914 9.659535738195357 25.615480755318874 87.50481378512376
NGC4254 37.076181914353 37.97028691711399 38.96032106300201 11.792607594694378 29.812925633253073 76.94519190972709
NGC4303 37.14034236274515 37.994210641302324 39.03923559216701 13.148991807811873 29.170523792926367 84.82437312229328
NGC4321 36.95419583474525 37.76395127946219 38.89554303492325 7.887719649902602 22.690676183965873 74.37335508932308
NGC5068 35.9503143720579 36.861811056842086 37.813554184866845 4.098674201647266 10.406077135612982 28.129128795700577
NGC7496 36.90182636404986 37.695988687226716 38.89894792861878 8.239710003676628 27.255532799263264 89.58518898039063
